STATION,STATION_CODE,DATA_SOURCE,SITE_TYPE,OWNER,FIRE_CENTRE,FIRE_ZONE,LATITUDE,LONGITUDE,ELEVATION,or_site_id,site_id,client_id,system_id
LEO CREEK,171,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Prince George Fire Centre,VanJam Zone (Fort St. James),55.0817,-125.4773,909,NA,NA,NA,NA
LIKELY RS,255,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Cariboo Fire Centre,Central Cariboo Zone (Horsefly),52.615,-121.5133,1046,NA,NA,NA,NA
LILLOOET,280,Auto-Caller,Weather Station - Cell,BC Wildfire Service,Kamloops Fire Centre,Lillooet Zone,50.672,-121.8882,408,NA,NA,NA,NA
LITTLE CHOPAKA,3810,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Kamloops Fire Centre,Penticton Zone,49.0251,-119.6909,461,NA,NA,NA,NA
LONE BUTTE,218,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Cariboo Fire Centre,100 Mile House Zone,51.507,-121.162,1158,NA,NA,NA,NA
LOVELL COVE,163,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Prince George Fire Centre,VanJam Zone (Fort St. James),55.6881,-126.0525,981,NA,NA,NA,NA
LOWER BEAVER,1264,Auto-Caller,Weather Station - GOES,Parks Canada,Southeast Fire Centre,Columbia Zone,51.4149,-117.4741,835,NA,NA,NA,NA
LOWER CAIN,1350,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Coastal Fire Centre,North Island Mid Coast Zone (Port McNeill),50.2258,-126.3563,1295,NA,NA,NA,NA
MABEL LAKE 2,362,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Kamloops Fire Centre,Vernon Zone (Vernon),50.3514,-118.7735,562,NA,NA,NA,NA
MACHMELL,101,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Coastal Fire Centre,North Island Mid Coast Zone (Mid Coast),51.5931,-126.4508,344,NA,NA,NA,NA
MACHMELL KLINIKLINI,1276,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Coastal Fire Centre,North Island Mid Coast Zone (Mid Coast),51.6556,-126.1407,1609,NA,NA,NA,NA
MACKENZIE (NC),142,Environment Canada,External,Environment Canada,Prince George Fire Centre,Mackenzie Zone,55.3,-123.1,690,NA,NA,NA,NA
MACKENZIE FS,155,Auto-Caller,Weather Station - Cell,BC Wildfire Service,Prince George Fire Centre,Mackenzie Zone,55.2864,-123.1358,697,NA,NA,NA,NA
MANSON,141,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Prince George Fire Centre,Mackenzie Zone,55.5798,-124.2321,1038,NA,NA,NA,NA
MARION,367,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Southeast Fire Centre,Columbia Zone,51.0422,-116.3638,1300,NA,NA,NA,NA
MARTINS GULCH (CRD),1141,Capital Regional District,External,Capital Regional District,Coastal Fire Centre,South Island Zone,48.5161,-123.7644,512,NA,NA,NA,NA
MATHEW,263,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Cariboo Fire Centre,Quesnel Zone,52.91,-120.9117,1108,NA,NA,NA,NA
MAYSON,1082,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Kamloops Fire Centre,Kamloops Zone (Kamloops),51.2112,-120.412,1311,NA,NA,NA,NA
MCBRIDE,195,Auto-Caller,Weather Station - Cell,BC Wildfire Service,Prince George Fire Centre,Robson Valley Zone,53.2948,-120.153,714,NA,NA,NA,NA
MCBRIDE LAKE,180,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Northwest Fire Centre,Nadina Zone (Morice),54.0747,-127.3994,810,NA,NA,NA,NA
MCCUDDY,334,Auto-Caller,Weather Station - Cell,BC Wildfire Service,Kamloops Fire Centre,Penticton Zone,49.1483,-119.415,1023,NA,NA,NA,NA
MCGREGOR 2,192,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Prince George Fire Centre,Prince George Zone,53.9289,-120.6355,979,NA,NA,NA,NA
MCLEAN LAKE,311,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Kamloops Fire Centre,Kamloops Zone (Kamloops),50.7923,-121.3581,1123,NA,NA,NA,NA
MCLEOD LAKE,153,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Prince George Fire Centre,Prince George Zone,54.7442,-123.0187,867,NA,NA,NA,NA
