STATION,STATION_CODE,DATA_SOURCE,SITE_TYPE,OWNER,FIRE_CENTRE,FIRE_ZONE,LATITUDE,LONGITUDE,ELEVATION,or_site_id,site_id,client_id,system_id
SIERRA,117,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Prince George Fire Centre,Fort Nelson Zone,58.8381,-121.3967,573,NA,NA,NA,NA
SIFTON,152,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Prince George Fire Centre,Mackenzie Zone,57.8517,-126.1168,968,NA,NA,NA,NA
SILVER,120,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Prince George Fire Centre,Fort St. John Zone,57.3745,-121.4069,835,NA,NA,NA,NA
SILVERSTAR SF,480,Auto-Caller,Store Forward,BC Wildfire Service,Kamloops Fire Centre,Vernon Zone (Vernon),50.3682,-119.0654,1880,NA,NA,NA,NA
SINKUT  SF,468,Non-Reporting,Store Forward,BC Wildfire Service,Prince George Fire Centre,VanJam Zone (Vanderhoof),53.817,-123.9717,1488,NA,NA,NA,NA
SKOONKA,1024,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Kamloops Fire Centre,Lillooet Zone,50.4387,-121.5515,1557,NA,NA,NA,NA
SLOCAN,406,Auto-Caller,Weather Station - Cell,BC Wildfire Service,Southeast Fire Centre,Arrow Zone,49.7847,-117.44,1230,NA,NA,NA,NA
SMALLWOOD,404,Auto-Caller,Weather Station - Cell,BC Wildfire Service,Southeast Fire Centre,Kootenay Lake Zone,49.4967,-117.4475,997,NA,NA,NA,NA
SMITHERS AP (EC),157,Environment Canada,External,Environment Canada,Northwest Fire Centre,Bulkley Zone,54.8242,-127.1894,522,NA,NA,NA,NA
SMOKEY C DL,918,Non-Reporting,Download,BC Wildfire Service,Cariboo Fire Centre,Central Cariboo Zone (Williams Lake),52.2367,-122.1567,1235,NA,NA,NA,NA
SPARKS LAKE,305,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Kamloops Fire Centre,Kamloops Zone (Kamloops),50.9237,-120.8671,960,NA,NA,NA,NA
SPARWOOD,3110,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Southeast Fire Centre,Cranbrook Zone,49.8167,-114.8667,1208,NA,NA,NA,NA
SPLINTLUM,1055,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Kamloops Fire Centre,Lillooet Zone,50.3511,-121.6549,424,NA,NA,NA,NA
SQUAMISH AP (EC),83,Environment Canada,External,Environment Canada,Coastal Fire Centre,Pemberton Zone,49.7824,-123.1619,60,NA,NA,NA,NA
STATION BAY 2,1359,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Kamloops Fire Centre,Vernon Zone (Vernon),50.4972,-119.7269,1100,NA,NA,NA,NA
STOREY DL,459,Non-Reporting,Download,BC Wildfire Service,Northwest Fire Centre,Nadina Zone (Morice),54.8059,-126.1435,738,NA,NA,NA,NA
SUCCOUR CREEK,374,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Southeast Fire Centre,Columbia Zone,51.7162,-117.5417,1000,NA,NA,NA,NA
SUMMIT,11,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Coastal Fire Centre,Mid Island Zone,48.9276,-124.6469,671,NA,NA,NA,NA
SUSTUT,156,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Prince George Fire Centre,VanJam Zone (Fort St. James),56.3288,-127.0339,819,NA,NA,NA,NA
SWIFT RIVER YFS,967,Non-Reporting,External,Yukon Forest Service,Northwest Fire Centre,Cassiar Zone,60.0025,-131.1883,878,NA,NA,NA,NA
TABERNACLE WIND,376,Auto-Caller,Store Forward,BC Wildfire Service,Southeast Fire Centre,Columbia Zone,51.7513,-117.7613,2438,NA,NA,NA,NA
TABLE RIVER,144,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Prince George Fire Centre,Prince George Zone,54.7158,-122.2747,775,NA,NA,NA,NA
TACHEEDA  SF,465,Non-Reporting,Store Forward,BC Wildfire Service,Prince George Fire Centre,Prince George Zone,54.6817,-122.4867,1290,NA,NA,NA,NA
TALCHAKO,233,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Coastal Fire Centre,North Island Mid Coast Zone (Mid Coast),52.2514,-126.0284,306,NA,NA,NA,NA
TATLA LAKE,208,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Cariboo Fire Centre,Chilcotin Zone,51.9067,-124.605,945,NA,NA,NA,NA
TAUTRI,206,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Cariboo Fire Centre,Central Cariboo Zone (Williams Lake),52.5422,-123.35,1085,NA,NA,NA,NA
TELEGRAPH CREEK,110,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Northwest Fire Centre,Cassiar Zone,57.9141,-131.1711,382,NA,NA,NA,NA
TERRACE,3851,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Northwest Fire Centre,Skeena Zone (Kalum),54.438,-128.5714,199,NA,NA,NA,NA
TERRACE (EC),103,Environment Canada,External,Environment Canada,Northwest Fire Centre,Skeena Zone (Kalum),54.5,-128.6,217,NA,NA,NA,NA
TETRAHEDRON,1313,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Coastal Fire Centre,Sunshine Coast Zone,49.5979,-123.6051,1422,NA,NA,NA,NA
THUNDER SF,1198,Non-Reporting,Store Forward,BC Wildfire Service,Prince George Fire Centre,Dawson Creek Zone,54.9542,-120.5917,1400,NA,NA,NA,NA
THYNNE,279,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Kamloops Fire Centre,Merritt Zone,49.7152,-120.866,1407,NA,NA,NA,NA
THYNNE  SF,481,Non-Reporting,Store Forward,BC Wildfire Service,Kamloops Fire Centre,Merritt Zone,49.7033,-120.9217,2002,NA,NA,NA,NA
TIMOTHY,234,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Cariboo Fire Centre,100 Mile House Zone,51.913,-121.389,1161,NA,NA,NA,NA
TIMOTHY SF,517,Non-Reporting,Store Forward,BC Wildfire Service,Cariboo Fire Centre,100 Mile House Zone,51.9011,-121.26,1662,NA,NA,NA,NA
TOAD RIVER,126,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Prince George Fire Centre,Fort Nelson Zone,58.8659,-125.3107,702,NA,NA,NA,NA
TOBA CAMP,75,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Coastal Fire Centre,Sunshine Coast Zone,50.5711,-124.0777,49,NA,NA,NA,NA
TOBY HUB,417,Auto-Caller,Hub Station,BC Wildfire Service,Southeast Fire Centre,Invermere Zone,50.5128,-116.0553,894,509,173.181.139.55:48050,f123a2e6-fdcf-460a-bfd1-409f859bb62d,13
TOFINO AIRPORT (PC),2211,Auto-Caller,Weather Station - GOES,Parks Canada,Coastal Fire Centre,Mid Island Zone,49.0868,-125.7786,24,NA,NA,NA,NA
TOFINO AP (EC),1,Environment Canada,External,Environment Canada,Coastal Fire Centre,Mid Island Zone,49.0781,-125.7696,24,NA,NA,NA,NA
TROUT LAKE,387,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Southeast Fire Centre,Arrow Zone,50.6053,-117.4272,991,NA,NA,NA,NA
TS ARTLISH,995,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Coastal Fire Centre,North Island Mid Coast Zone (Campbell River),50.1324,-126.9282,120,NA,NA,NA,NA
TS ATLUCK,1378,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Coastal Fire Centre,North Island Mid Coast Zone (Campbell River),50.2651,-127.0835,384,NA,NA,NA,NA
TS BLACKWATER,1408,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Coastal Fire Centre,North Island Mid Coast Zone (Campbell River),50.1711,-125.5757,289,NA,NA,NA,NA
TS BURMAN,1362,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Coastal Fire Centre,North Island Mid Coast Zone (Campbell River),49.6102,-126.0327,71,NA,NA,NA,NA
TS EFFINGHAM,956,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Coastal Fire Centre,Mid Island Zone,49.17,-125.2825,632,NA,NA,NA,NA
TS ELPHINSTONE,1002,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Coastal Fire Centre,Sunshine Coast Zone,49.428,-123.5649,615,NA,NA,NA,NA
TS MAURELLE,1056,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Coastal Fire Centre,Sunshine Coast Zone,50.2709,-125.1309,140,NA,NA,NA,NA
TS MCNABB,1066,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Coastal Fire Centre,Sunshine Coast Zone,49.5855,-123.3873,140,NA,NA,NA,NA
TS NAHMINT,1398,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Coastal Fire Centre,Mid Island Zone,49.2075,-125.1218,354,NA,NA,NA,NA
TS NAKA CREEK,945,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Coastal Fire Centre,North Island Mid Coast Zone (Campbell River),50.3701,-126.4339,515,NA,NA,NA,NA
TS SAN JUAN,944,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Coastal Fire Centre,South Island Zone,48.5713,-124.2,294,NA,NA,NA,NA
TS THEODOSIA,1025,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Coastal Fire Centre,Sunshine Coast Zone,50.1035,-124.6146,103,NA,NA,NA,NA
TS TSITIKA,4393,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Coastal Fire Centre,North Island Mid Coast Zone (Campbell River),50.3752,-126.5401,211,NA,NA,NA,NA
TSAR CREEK,361,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Southeast Fire Centre,Columbia Zone,51.9972,-118.1025,1200,NA,NA,NA,NA
TSUS SF,1106,Non-Reporting,Store Forward,BC Wildfire Service,Prince George Fire Centre,Prince George Zone,53.6932,-121.918,2000,NA,NA,NA,NA
TUMBLER HUB,127,Auto-Caller,Hub Station,BC Wildfire Service,Prince George Fire Centre,Dawson Creek Zone,55.0274,-120.934,932,NA,NA,NA,NA
TURTLE,286,Auto-Caller,Weather Station - Cell,BC Wildfire Service,Kamloops Fire Centre,Vernon Zone (Vernon),50.8036,-119.6307,660,NA,NA,NA,NA
TWO SISTERS  SF,518,Non-Reporting,Store Forward,BC Wildfire Service,Cariboo Fire Centre,Quesnel Zone,53.2167,-121.5517,2110,NA,NA,NA,NA
UBC RESEARCH,72,Auto-Caller,Weather Station - Cell,BC Wildfire Service,Coastal Fire Centre,Fraser Zone,49.2645,-122.5732,146,NA,NA,NA,NA
UPPER BEAVER,1265,Auto-Caller,Weather Station - GOES,Parks Canada,Southeast Fire Centre,Columbia Zone,51.3145,-117.3741,1638,NA,NA,NA,NA
UPPER FULTON,169,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Northwest Fire Centre,Bulkley Zone,55.034,-126.7996,900,NA,NA,NA,NA
UPPER KISPIOX,431,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Northwest Fire Centre,Bulkley Zone (Kispiox),55.6015,-128.0478,410,NA,NA,NA,NA
VALEMOUNT 2,200,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Prince George Fire Centre,Robson Valley Zone,52.7883,-119.3147,1163,NA,NA,NA,NA
VALEMOUNT AIRPORT,1268,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Prince George Fire Centre,Robson Valley Zone,52.8597,-119.3386,788,NA,NA,NA,NA
VAN DYKE,430,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Northwest Fire Centre,Skeena Zone (Kalum),56.0127,-129.0998,296,NA,NA,NA,NA
VANCOUVER AP (EC),69,Environment Canada,External,Environment Canada,Coastal Fire Centre,Fraser Zone,49.2,-123.2,1,NA,NA,NA,NA
VANDERHOOF HUB,158,Auto-Caller,Hub Station,BC Wildfire Service,Prince George Fire Centre,VanJam Zone (Vanderhoof),54.0554,-124.0102,681,NA,NA,NA,NA
VAVENBY MTN,2513,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Kamloops Fire Centre,Kamloops Zone (Kamloops),51.5561,-119.7382,1069,NA,NA,NA,NA
VERMILLION CROSSING,1241,Auto-Caller,Weather Station - GOES,Parks Canada,Southeast Fire Centre,Columbia Zone,51.0234,-115.9789,1277,NA,NA,NA,NA
VICTORIA AP (EC),49,Environment Canada,External,Environment Canada,Coastal Fire Centre,South Island Zone,48.6482,-123.4288,19,NA,NA,NA,NA
WELLS GRAY,266,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Kamloops Fire Centre,Kamloops Zone (Kamloops),52.3425,-120.2434,958,NA,NA,NA,NA
WEST KELOWNA,1277,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Kamloops Fire Centre,Penticton Zone,49.8832,-119.5695,650,NA,NA,NA,NA
WHISKEY,366,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Southeast Fire Centre,Invermere Zone,51.0653,-116.785,1354,NA,NA,NA,NA
WHITE RIVER,790,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Southeast Fire Centre,Invermere Zone,50.185,-115.2676,1357,NA,NA,NA,NA
WILLIAMS LAKE (NC),205,Environment Canada,External,Environment Canada,Cariboo Fire Centre,Central Cariboo Zone (Williams Lake),52.2,-122.1,940,NA,NA,NA,NA
WILLIS,3873,Auto-Caller,External,BC Wildfire Service,Kamloops Fire Centre,Merritt Zone,49.3394,-120.4071,1455,NA,NA,NA,NA
WINDY MOUNTAIN,244,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Cariboo Fire Centre,100 Mile House Zone,51.67,-120.65,1580,NA,NA,NA,NA
WITCH,154,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Prince George Fire Centre,VanJam Zone (Fort St. James),55.023,-124.2666,1041,NA,NA,NA,NA
WONOWON,136,Auto-Caller,Weather Station - Cell,BC Wildfire Service,Prince George Fire Centre,Fort St. John Zone,56.7184,-121.7654,958,NA,NA,NA,NA
WOSS CAMP,21,Auto-Caller,Weather Station - Cell,BC Wildfire Service,Coastal Fire Centre,North Island Mid Coast Zone (Port McNeill),50.2132,-126.6071,151,NA,NA,NA,NA
YAHK SF,504,Non-Reporting,Store Forward,BC Wildfire Service,Southeast Fire Centre,Cranbrook Zone,49.1928,-115.6986,2182,NA,NA,NA,NA
YOUNG LAKE,235,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Cariboo Fire Centre,100 Mile House Zone,51.2378,-120.9976,1170,NA,NA,NA,NA
